Fitness,Label,Type,TrainDelta,TestDelta,AP_Eng1,AP_Eng2,AP_Eng3,HDG_Mode1,HDG_Mode2,HDG_Mode3,ALT_Mode1,ALT_Mode2,ALT_Mode3,HDG_Ref1,HDG_Ref2,HDG_Ref3,TurnK1,TurnK2,TurnK3,ALT_Ref1,ALT_Ref2,ALT_Ref3,Pwheel1,Pwheel2,Pwheel3
2.849361069,1,0,0,0,0,0,1,0,1,0,1,0,0,-64.10081721,96.64034624,-141.9144421,14.27513283,41.81071381,43.78985301,681.1865348,355.2521681,445.9424539,-1.190317581,-28.20043521,9.300475762
31.24465766,1,0,0,0,0,0,0,0,1,0,1,0,1,-127.4735431,-16.38571814,-45.84276204,32.22986659,22.29393444,20.39423928,7.942158767,161.6140652,318.4790181,-10.05959712,1.449668544,-9.444672188
-3.961882275,0,0,0,0,0,1,0,1,0,0,1,1,0,-102.0721344,-45.2376494,70.44149225,14.59885065,38.91946501,30.26434684,528.9912446,366.1342007,340.7201222,13.61825871,-10.11061681,-27.65881756
0.93224426,1,0,0,0,1,0,1,0,1,1,1,1,0,-116.1708639,-80.04358223,-103.9007191,32.89088025,40.6502531,9.571356533,538.7439764,394.1181635,440.4592363,1.614743825,15.3734685,-7.949437901
4.387685033,1,0,0,0,1,0,1,1,0,0,0,0,0,6.259230003,-146.3019796,125.3460502,3.937383239,0.509416232,11.38052167,988.6046127,462.7725911,304.8430753,6.674031798,5.393465919,-14.22057996
21.33955087,1,0,0,0,0,1,0,1,0,0,1,0,0,78.31167124,175.7958994,123.8845679,30.39965023,5.345121938,34.00065373,829.5120312,434.9878795,192.843258,-27.39014717,16.69627627,-29.528869
4.568829414,1,0,0,0,0,0,1,1,1,1,1,0,1,29.47026059,-57.57050475,-39.15098842,6.613311867,12.52663207,18.76967845,926.9337486,534.5674771,312.7935513,3.388648831,-2.796846499,-15.37925576
3.260184745,1,0,0,0,1,1,1,1,0,0,0,1,0,129.475525,149.5208564,-100.8688443,10.91067087,2.511008779,37.66219009,567.5424729,13.73901804,297.8363586,-26.69087046,1.712403116,-10.5936936
3.205263366,1,0,0,0,1,1,0,1,1,1,0,1,0,-16.7951311,-101.9151371,72.3604908,11.56819636,30.47754575,8.714398429,756.6835128,788.8602715,422.9079399,26.37417641,28.96392949,3.635507711
3.312450573,1,0,0,0,0,1,1,1,1,0,0,1,0,24.37116946,-149.0228707,-161.4160165,34.52418287,11.86088604,10.80778397,817.2444922,98.16714864,83.71691369,-22.49955832,24.39264597,9.138574287
3.542100585,1,0,0,0,1,1,0,1,1,0,0,1,0,-116.1685385,53.53678537,-110.285224,4.221205932,6.570121058,25.59945797,791.237967,127.8711021,894.3601147,-24.45807751,10.26614023,-22.35699192
31.24465766,1,0,0,0,0,0,0,0,0,0,1,1,0,-92.06434654,159.0153066,3.141197406,37.62034502,32.38373555,16.35737588,974.2240678,677.6412301,736.3230179,12.06482608,-26.90925607,-21.55723735
31.24465766,1,0,0,0,0,0,0,1,0,1,0,1,1,-18.29712992,156.6699922,15.57916476,42.23970285,23.26896704,4.898146492,988.3947121,281.878966,959.7477333,27.77482065,-29.19273409,-3.350316455
3.312609968,1,0,0,0,0,1,1,1,0,0,0,1,1,115.4658243,-92.74776103,143.2451473,0.309767004,30.521499,23.86462322,776.0520113,253.5813456,222.5673157,27.79987553,16.86676939,-23.83647133
3.345601245,1,0,0,0,0,1,1,0,1,1,1,1,1,129.6137198,-125.4617716,-68.21233248,14.41347533,23.24850979,39.13857044,799.5542652,894.7541829,86.40476807,22.99046407,-2.195146937,25.35194491
2.955360691,1,0,0,0,1,1,1,1,1,0,0,0,0,175.7835799,153.7904797,59.82480924,32.20485615,10.79363671,26.27280785,878.4085148,218.2456814,933.2279859,-3.267509355,-0.389054554,-4.206679948
2.905571807,1,0,0,0,1,1,0,1,0,0,0,1,1,142.9812875,19.25649224,75.22129711,10.42251598,16.02603319,42.83173203,858.4395377,30.85404121,207.6945589,24.60270804,20.94448664,0.966657491
3.775629334,1,0,0,0,1,1,0,1,0,1,0,0,0,-47.46762082,-43.88240168,-38.7606034,41.05802866,25.04714133,27.60490953,208.4802377,472.9760335,657.6930823,14.87689357,9.122266511,-5.22295422
2.964089434,1,0,0,0,0,1,1,0,0,0,1,0,1,102.5632884,88.65044052,153.7389829,18.00275994,36.37398539,40.12373834,536.7989857,186.0468977,497.9118131,0.335738285,-20.98508287,-4.523795774
-0.387434584,0,0,0,0,0,1,0,1,1,1,1,0,1,-31.64956818,-132.798017,-172.4938333,39.4218547,10.28816013,40.66724625,821.53213,965.2406596,913.3650314,18.04221495,-4.552239998,-24.02921935
31.24465766,1,0,0,0,0,0,0,0,0,1,0,1,0,-114.2650952,-56.27605456,-75.2656745,34.49444443,41.68066026,17.98547837,703.3393105,183.1429922,383.6170722,20.22971346,8.810729784,-12.74301185
-8.887120346,0,0,0,0,1,0,0,0,1,0,0,1,0,37.71566139,-70.19634084,-102.6694455,32.83724871,20.17992184,34.96829272,449.760589,858.8414827,518.3448483,-23.06283731,-28.87297723,-13.40279066
31.24465766,1,0,0,0,0,0,0,0,1,0,0,1,1,-124.8991273,22.8793955,-152.5863711,5.644101929,0.053006818,30.33498287,166.5043483,290.7937683,156.3293559,-25.77916799,9.798031629,16.27654534
3.564916137,1,0,0,0,0,0,1,0,1,0,0,0,0,-46.1871433,24.2736732,-140.9442784,28.91758897,5.320016673,32.2387147,948.3610682,296.9853192,147.1573464,-12.27823498,21.29840089,-12.42475721
3.916621715,1,0,0,0,1,1,0,1,1,0,1,1,1,95.65993119,-51.26281787,-63.16477883,10.77629859,17.58489025,34.83108416,879.2686716,695.6785614,316.079803,-13.532372,-23.75144851,24.41451193
15.33254188,1,0,0,0,1,0,0,0,1,0,1,0,1,-48.09080175,98.41899421,149.3896821,9.055411351,29.648797,0.466127135,797.0538244,790.3821199,442.1115614,18.99010446,-26.48614239,24.35893748
-4.594683472,0,0,0,0,1,0,0,0,0,1,1,1,0,46.92752012,-18.69643034,-172.964328,38.09644869,40.39867779,3.16529859,852.3848166,791.276992,540.6876092,-14.44438567,-24.18603209,-13.58783092
31.24465766,1,0,0,0,0,0,0,0,0,1,0,0,0,76.23433442,19.30937947,-24.56271347,22.51926629,17.54705766,13.17476814,523.0661223,207.3885863,704.4531819,-1.076069988,11.86307734,-15.8365845
17.70205231,1,0,0,0,0,0,1,1,0,0,1,1,0,-138.7433645,82.34332036,50.71060125,39.06693869,1.356458968,15.31286453,828.8623296,461.8824099,563.8137532,19.47211379,-20.81059247,-19.69253578
3.149059223,1,0,0,0,0,1,1,1,0,0,1,0,0,-35.86271226,159.8353561,129.4650639,1.131725523,41.14312151,10.0623217,33.92609768,216.5612572,115.5943375,19.71216696,-23.50658603,-26.59757746
3.793862797,1,0,0,0,1,1,1,0,1,0,1,0,1,-163.3292959,31.70519089,52.76627495,39.77887765,2.34915455,9.868085748,142.3742329,202.5965482,920.7596647,-1.017691168,-13.63297803,15.51052655
2.981142399,1,0,0,0,1,1,1,1,0,0,1,0,0,166.8798636,86.79881482,83.82071065,29.27060264,4.777760336,36.34576842,436.4905623,691.5670037,191.285179,26.74378229,-14.05736396,-22.15234958
17.43868644,1,0,0,0,1,0,0,0,0,1,0,1,0,37.74072165,4.760879937,162.960517,15.46610243,21.29664501,23.26592465,566.4846634,810.43629,782.7417302,28.54839379,5.198027665,20.02588157
4.595618741,1,0,0,0,0,0,1,1,1,1,0,1,1,-163.7406429,65.51719555,41.24004553,22.51281703,33.14372605,10.14726811,822.3603982,38.36298368,350.701771,-15.15944444,-4.354619934,11.78626321
0.93224426,1,0,0,0,1,0,1,1,1,0,1,1,0,173.4891809,33.28833869,4.922298596,37.67765546,12.78082582,8.367611107,250.6980423,798.6903179,242.3968941,28.22860134,-18.14974571,-23.11375693
4.595618741,1,0,0,0,0,0,1,0,0,1,0,1,1,103.4235154,143.6753997,0.866591277,24.82649621,20.58408595,17.7186414,895.6619755,72.18562108,220.9951388,4.198306325,-29.36439306,-27.65929217
3.257747736,1,0,0,0,0,1,0,0,0,1,1,1,1,52.70381678,-43.5910679,15.08972205,42.0321464,19.20201078,19.6823391,159.7185235,225.1263147,174.359328,25.42162016,10.79992169,-27.9518121
3.017495096,1,0,0,0,0,1,1,1,0,1,1,1,0,26.0738947,-141.1928504,120.058488,25.42748586,40.92813245,12.8209117,226.4509501,993.7691302,67.19029605,-25.55532825,-18.87273973,-19.85030044
3.531836253,1,0,0,0,0,0,1,1,1,0,1,1,1,-102.2383371,-59.748906,-115.4681994,16.74566905,25.88285943,42.64163661,593.8116504,145.2815984,298.5743789,-1.587328213,-20.70446878,-22.73316487
3.204245558,1,0,0,0,1,0,0,1,0,0,0,0,0,-47.12806665,-158.3953643,32.29143711,33.82903919,5.145474234,43.86729304,303.644912,149.4257352,88.60366076,29.01569481,-7.753309545,7.753455097
31.24465766,1,0,0,0,0,0,0,0,0,0,0,0,1,-158.6102659,-162.842964,16.07042285,22.95251121,8.793162518,8.481790532,806.3886902,964.6149134,208.2186863,6.405997169,27.62451287,-10.32134168
12.87827604,1,0,0,0,0,0,1,0,1,0,1,0,0,172.9138292,94.71720894,-125.8463297,16.30927536,29.70258111,19.80550556,241.3333011,928.8583253,205.4542629,-3.758459752,18.07741535,15.9824732
2.700255555,1,0,0,0,1,1,1,1,1,0,0,0,0,151.4131971,-177.0919972,106.0657277,22.39584781,35.15128268,34.76967425,894.7709002,466.9812557,679.9309828,22.65984195,17.48881285,-9.366498896
0.864444696,1,0,0,0,1,1,0,1,1,1,0,0,0,20.92848042,115.5529235,-153.3810126,34.3780345,31.54578518,10.27330075,400.4116513,847.242046,101.1561451,-7.408320029,-1.893667011,-14.13265488
31.24465766,1,0,0,0,0,0,0,0,0,0,1,0,0,-39.02479565,-77.48175083,30.57439777,24.81956314,4.75833818,38.04496293,357.0643086,763.6394242,642.5352448,9.635110954,-18.45705103,1.904945901
3.015378649,1,0,0,0,0,1,1,1,0,1,1,1,0,-10.76665093,35.3367722,-179.7847938,19.41667193,40.98272519,2.994133625,635.3989998,156.8026682,143.5320382,-27.83664451,-16.75008162,-15.48477497
-8.469856075,0,0,0,0,1,1,0,0,0,0,1,1,0,56.87464067,-42.36561843,-3.549415447,41.01750686,42.29746516,32.95867027,30.98228177,903.8671151,662.2001623,-20.07392861,19.05030278,1.172749093
2.859689279,1,0,0,0,1,0,1,0,0,0,0,0,0,109.8005908,-62.20245672,5.836910802,38.54214429,7.093619139,40.90841396,735.0106117,984.3386186,315.2536784,17.1209067,-9.113223122,11.04549287
23.36329379,1,0,0,0,0,0,1,1,1,0,0,1,0,66.49922714,58.24197814,-132.1785188,13.76502849,8.275470079,9.73899921,805.6057587,670.3026054,791.3118857,-29.85697956,-15.41303579,22.31175997
20.11468513,1,0,0,0,0,1,0,1,0,1,0,1,0,-88.30675334,-37.99633956,10.77919328,23.27278387,7.139027015,43.08209617,940.9914487,536.2834131,926.2376936,22.75142264,-13.37637913,19.63803024
-4.594683472,0,0,0,0,1,0,0,1,0,0,1,0,1,145.9973076,141.3577265,163.9786963,15.54094379,37.75239451,24.54449122,506.7722996,298.9325419,702.0013448,23.84041596,-13.70150088,10.59517605
12.03956553,1,0,0,0,0,1,0,1,0,0,1,0,1,64.20069491,101.8013887,-95.18965122,43.80912476,20.49866934,1.025808069,999.2687284,3.615031341,231.3336119,-23.59731849,26.7193603,-10.51982896
1.511254739,1,0,0,0,0,1,0,1,1,1,0,1,0,-160.1677379,-106.2181154,-150.4580635,24.9257108,0.904597208,32.88045437,24.82931367,311.8611855,235.1678519,-18.0044666,10.78054436,17.5511737
6.881398321,1,0,0,0,0,1,1,1,0,1,1,0,1,133.180305,138.6080574,51.86858451,23.09374581,15.69068859,43.1073234,283.5697304,365.893711,716.9764436,15.54087999,-19.43866762,-29.98228749
3.748129188,1,0,0,0,1,0,0,0,1,0,1,1,0,143.5285717,-108.8325308,-138.6057861,21.97739877,13.29279479,26.96710015,273.2605095,851.4774374,76.57512868,-26.37197314,17.47798852,-28.52337368
