Fitness,Label,Type,TrainDelta,TestDelta,TL,BL,IC
-3.5421,0,0,0,0,-3.54275366506262,6.92507118747471,17.9180127841045
1.6798,1,0,0,0,4.5844115486845,3.67699449551001,5.65647622575357
-3.6817,0,0,0,0,-3.68234798880833,4.64293546963797,-13.6940636203223
-5.0835284715043,0,0,0,0,5.20141382456674,-8.16180193653852,18.7061596782812
0.1821,1,0,0,0,2.1793269669291,7.89904880550835,-12.2341387710769
-6.86702515245985,0,0,0,0,9.76115884096802,-5.173702768521,-11.0631617692578
-1.96,0,0,0,0,-1.96004116430559,5.61812731000712,13.5684805174764
0,1,0,0,0,-1.81000450885732,-1.95198934840497,10.8700013289215
-5.0169,0,0,0,0,-5.01750627374405,7.31482129291292,7.28744267242747
-7.6074,0,0,0,0,9.5478596081712,-6.28952188912008,-11.3526895794745
-3.7409,0,0,0,0,-3.74156283613017,5.0402407545146,-5.29053572559186
-2.0891,0,0,0,0,2.08912007078284,-2.33130217184913,2.01951317039847
-2.2905,0,0,0,0,-2.29115156570233,3.3087006654699,-19.4114334581464
-4.607,0,0,0,0,6.26248937519771,-3.00288050341593,8.6206210105941
-1.8489,0,0,0,0,9.17787607757238,0.148342414365342,6.64672881071551
-1.4107,0,0,0,0,-1.41069131275609,6.98997087136486,6.16933509137735
-0.0852,0,0,0,0,0.0851549518438581,-2.62967880938574,7.40997716077638
6.018,1,0,0,0,-8.01584969648487,-9.04706326066493,14.773436599094
0.212,1,0,0,0,3.03734731727776,2.2091740241177,-3.12217179005016
-0.0741,0,0,0,0,0.0741474991554192,-6.71718153248405,-16.2731148190381
-3.7065,0,0,0,0,3.70649729043897,-7.14657403826186,1.14846613076105
-0.499,0,0,0,0,-9.92854453351449,-1.49884418130039,-11.0263637929436
-1.5433,0,0,0,0,3.19884264626973,0.062037927593412,4.0022895923135
3.9987,1,0,0,0,-5.99652682279136,-7.25197962551512,-19.0484388546246
1.9128,1,0,0,0,8.79085396441768,3.91002647580082,2.1693273203661
2.0939,1,0,0,0,-4.09171421761871,-9.14736504988632,14.1504083333785
-1.9336,0,0,0,0,1.93364201682839,-9.62946440714125,17.3276384748592
-4.8169,0,0,0,0,-9.80423351466256,2.81911079256312,11.5474153419661
-0.5301,0,0,0,0,0.530058884620811,-4.17503165437532,5.13314163535822
-1.204,0,0,0,0,-1.49062656896473,0.927407265450928,-12.3681166672534
-4.8723,0,0,0,0,4.88977674019052,-5.74287561443658,-15.9951017649122
4.4495,1,0,0,0,7.92769972595026,6.44673950775474,15.3113500020083
-6.0016,0,0,0,0,-8.2375140917567,4.00375295481781,-13.1910310508051
2.5639,1,0,0,0,6.660885421061,4.56114169443556,11.0357206054391
-5.1024,0,0,0,0,5.26990502898306,-8.8580106885056,4.39390886475424
-1.6746,0,0,0,0,7.96943600896768,0.322614490184293,0.246861522696776
-4.887,0,0,0,0,-4.88766887178684,9.43206269917071,3.24495689803011
-8.9122,0,0,0,0,9.36772828673314,-9.17123254158204,-12.4548708255139
0,1,0,0,0,0.395201181360719,2.81707839325696,-6.37074709898542
-2.9256,0,0,0,0,2.96659638415368,-2.89124068907499,14.0172009616551
0,1,0,0,0,0.856093624824423,3.4616017492152,-9.7370968274649
5.5754,1,0,0,0,-7.57323446584129,-9.18787108279319,15.5177253235791
3.0665,1,0,0,0,5.06374631663466,6.04158370052531,-2.34377493410932
4.9176,1,0,0,0,-8.49654828567559,-6.91540605424613,-10.1102340642391
-7.7356,0,0,0,0,-8.41548026291796,7.0631912626833,-13.7129257883684
-0.8419,0,0,0,0,2.33325367377916,0.568998889178831,-12.3512070657747
0.3028,1,0,0,0,5.19501520454779,2.29996850985752,-13.9174557289167
-0.9073,0,0,0,0,-0.907251062836874,3.64195199617922,-8.74963513696363
0.5001,1,0,0,0,2.49726241629075,8.83460245202836,2.67213344189874
1.8651,1,0,0,0,3.86231198210357,9.57172822068644,15.9646951470035
0.9724,1,0,0,0,2.96959792030659,9.65841629889922,-13.4474012728076
0,1,0,0,0,0.195737144551497,2.54696859312207,12.0000362533316
0,1,0,0,0,-1.64461827785488,-8.90331136212438,0.765767746038257
0.6627,1,0,0,0,-7.30935728623383,-2.66051130709921,7.86483549613719
