Fitness,Label,AP_Eng1,AP_Eng2,AP_Eng3,HDG_Mode1,HDG_Mode2,HDG_Mode3,ALT_Mode1,ALT_Mode2,ALT_Mode3,HDG_Ref1,HDG_Ref2,HDG_Ref3,TurnK1,TurnK2,TurnK3,ALT_Ref1,ALT_Ref2,ALT_Ref3,Pwheel1,Pwheel2,Pwheel3,Throttle1,Throttle2,Throttle3
127.5787921,1,1,0,1,0,1,0,0,1,1,-135.4617238,92.47440163,-20.27965979,39.96746468,38.21850386,29.23058534,6700,6700,6700,24.40273248,-10.48406757,8.210618646,0.935706371,0.404066314,0.885736199
-480.2370774,0,1,1,1,1,1,1,0,1,0,143.1854332,-125.1096571,94.88237661,44.00467864,7.036883912,40.73994356,6700,6700,6700,-8.56129118,21.51563606,-3.019068762,0.104946582,0.516181729,0.421291224
157.4832537,1,1,0,0,1,0,1,1,0,1,-151.4167927,-147.2522212,91.6240939,41.61464446,4.884611008,28.29336895,6700,6700,6700,23.96081576,-1.026234929,18.8577587,0.927432268,0.13829896,0.142489263
450.3343299,1,0,0,1,1,1,0,1,1,0,-90.95856813,-157.9801082,12.46554574,21.92200769,35.99910334,30.47335192,6700,6700,6700,1.860811683,-6.94762222,15.07505383,0.67983294,0.591095426,0.07172294
524.3731142,1,1,1,1,1,0,0,0,0,1,16.67935058,38.01996986,-4.701483599,44.85562156,13.95387284,12.21774186,6700,6700,6700,19.05568001,21.57467518,-0.156354076,0.872407962,0.710578881,0.629654193
304.1434307,1,1,1,0,0,1,1,0,1,1,-33.61295936,-12.83392683,-99.94834538,3.128690923,32.53527057,9.602251705,6700,6700,6700,19.27563602,-0.840017896,-1.804912288,0.500508952,0.757932223,0.293393071
354.137201,1,1,0,1,1,0,1,0,0,1,95.72833943,89.0246691,-10.78850239,20.17078084,36.17034905,26.97804185,6700,6700,6700,13.13748388,11.23431455,3.197995756,0.879111073,0.064639317,0.891302966
-686.09825,0,1,1,0,0,1,1,1,0,1,53.77403263,167.8500066,30.30359987,39.00730915,23.48551903,18.54901713,6700,6700,6700,-5.582261775,-21.91626077,4.916195199,0.123756364,0.941923534,0.322996984
40.24278187,1,1,0,1,1,1,1,0,0,1,26.08971383,-15.11791774,-20.73082911,3.852233834,1.313327094,36.32391097,6700,6700,6700,-6.370083796,7.943360397,-16.43103599,0.039837961,0.089118093,0.32341638
41.61254024,1,1,0,0,0,0,1,1,1,0,-90.48341683,49.37220978,69.59825718,34.22865967,11.74749111,8.790895996,6700,6700,6700,5.862896223,-20.98830519,4.38030887,0.401681678,0.339430484,0.549351177
133.0716844,1,0,0,1,1,0,1,0,0,1,-137.0952325,21.79653066,164.330702,32.73417417,41.54957786,2.399159731,6700,6700,6700,-27.23921419,5.12778265,-11.92879208,0.414614229,0.958603947,0.198469719
39.77200238,1,1,0,1,1,1,1,0,0,0,-103.306755,-170.3942077,-58.7102878,30.43469496,42.98905915,2.250848769,6700,6700,6700,14.62672852,28.26044723,-7.785142734,0.655210763,0.681564875,0.126672769
85.70887856,1,1,1,1,0,1,0,0,1,1,-25.11473303,-123.2301192,-149.3971031,38.8776516,34.97117936,12.01569922,6700,6700,6700,20.13309218,28.12831073,15.00593717,0.924233475,0.107001784,0.909173008
35.90203372,1,0,1,0,1,0,1,1,0,1,-73.10375626,142.4899988,176.7456817,3.779749829,15.61686009,3.982004246,6700,6700,6700,0.547342115,-13.29212986,2.297066688,0.802518985,0.12227236,0.750470365
184.863454,1,1,0,1,1,0,1,1,0,1,-30.75693993,-146.2001114,-54.06642752,23.8109124,44.65827774,4.752397655,6700,6700,6700,-1.871364643,-21.23303678,-16.96671182,0.871435482,0.942320703,0.107123999
-300.886307,0,0,1,1,1,0,1,1,1,1,-114.4294259,179.4678344,-64.352262,5.429570405,34.97150458,43.30145399,6700,6700,6700,-16.24489348,20.44053665,-6.609442793,0.622379368,0.815035983,0.957020801
