Fitness,Label,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,K1,K2,L1,L2,M1,M2,N1,N2,O1,O2,P1,P2
0,0,0.014671001,2.910400105,0.819160569,2.209032694,2.4534108,0.754953247,1.894004294,1.569163066,4.505026763,2.23444632,0.591700841,2.46246665,2.147058601,3.352176873,2.940664292,1.764193994,3.843090656,4.646875839,3.295742371,0.604797974,4.941387913,2.019823737,4.315792212,1.724053518,3.395618302,0.773482895,3.291083989,3.887769306,0.769865904,4.0946967,3.747658998,3.606506503
0,0,0.439146172,1.791584975,3.490520354,4.787615463,0.886882884,0.646703483,3.06122899,3.830109078,4.240429756,3.75447798,1.210339854,2.209736083,2.202447439,3.045078546,2.831672779,2.688328846,2.035422352,4.532894519,4.390047638,0.896248713,0.086552267,4.885934846,4.672346742,1.309001257,0.574479113,2.741088423,4.946475723,1.42940905,1.221369578,1.308997929,0.87255336,4.380895077
1.484957044,1,1.761899596,0.208831363,0.920363595,0.305263241,4.333810501,4.900850775,0.773462565,1.228328618,0.999971446,1.61502931,0.990203009,2.031520185,1.519178254,1.415083833,2.869423863,4.167413372,3.264185406,1.151092222,0.503856712,0.982752687,0.074475348,3.109296838,0.699112326,3.751411699,0.905390166,2.319579804,4.143878012,3.033765913,1.025626124,1.891457778,1.223266328,4.851763534
1.442383369,1,3.633410338,2.035972985,0.172492876,4.831993472,1.934795697,0.260882289,4.752168283,4.210119768,4.388543609,0.677770432,1.66163332,1.884938266,1.767654525,1.583260296,0.181989982,0.434657116,2.275500259,1.795199431,1.121343045,4.07982444,4.673298053,4.608118964,3.236210997,3.802222911,0.408377348,3.38233068,2.700571223,1.666774226,0.444179914,0.791984377,1.807165109,3.963660934
0,0,1.75364057,2.547892673,4.77762988,2.861971753,1.949563175,4.888439935,3.777414,0.5881873,0.918318169,2.478891209,1.432019515,2.141205329,4.323275821,2.602662129,0.954879776,0.715456219,0.627313976,4.231686216,3.981107074,2.542504772,0.256213283,2.671657436,3.134978373,4.078474727,1.214858037,1.347688525,1.666380774,4.67379479,1.618162933,4.605166272,0.330729675,4.05829271
1.438773056,1,0.573469116,1.032697606,4.60012001,0.847203269,4.935276362,1.178160375,4.162715014,2.45017062,2.794864885,3.010816972,3.866323386,4.692227431,3.024739189,3.618735202,1.837449959,2.80231881,4.554854085,4.338091025,4.762013819,3.113359339,4.941096921,2.344409109,1.570326011,3.174498135,4.030897429,3.899593951,1.718077701,1.080512194,2.500852429,1.137863058,3.613316574,2.612030487
1.323489576,1,3.605750864,2.18565204,4.690253457,0.366251274,4.375651281,2.420123233,4.769906979,0.337076258,4.457551892,1.355019781,4.328126624,1.991026408,3.234678408,4.445634397,1.321471776,2.468128218,4.491148724,0.591259652,3.660747324,2.180816824,0.987546231,0.360418125,0.92734342,3.032929952,4.40039512,3.332985941,1.899580488,0.792966681,4.387683249,3.818969184,4.877870689,0.879813625
1.34727233,1,3.248709286,4.784724742,4.33005845,3.607940171,0.856943836,3.002764483,1.714140766,3.455173571,4.336336039,1.878136056,1.87743467,0.351581482,1.063597703,2.308781528,4.05268391,3.619912698,3.421890653,0.406603317,1.47982724,1.576000353,4.872271241,2.490526515,1.281782637,1.667551835,1.987114962,2.13968502,0.788040989,1.138705443,4.153535616,2.984549913,0.789208033,0.209544121
1.428613341,1,2.760404262,2.038338242,2.515007292,3.39571344,4.441826089,3.555734839,3.433536606,1.207509733,1.794015673,1.669336164,3.143122636,4.920151535,2.497505188,4.163544974,4.166832113,0.657285529,1.526352391,1.528181107,0.72807121,1.23650492,3.862932635,0.18887117,0.366282498,1.148712954,3.45315964,3.109063922,4.373783354,4.073613782,3.650497161,2.331501787,0.772222939,4.8492899
1.507456641,1,2.76019224,1.199351906,2.268195897,2.206850608,2.783087867,4.791421348,4.765815529,0.888354178,0.1240603,2.193677139,3.25042103,0.248143759,3.532276043,0.777905705,4.274050731,1.929410635,2.580024745,1.991533998,4.704843704,2.026380998,4.64975135,0.672017324,0.273193112,3.149844137,1.591651932,2.916752944,3.743327798,4.140446318,3.100996399,0.679155317,2.582641793,3.944185127
