Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
-3.3094,0,10.24874709,6.474922266,-2.055491753,-12.45498778,-10.78620788,14.50279614,4.518981813,5.787672945,-19.19840478,10.14410895,-0.286084094,-0.885822989,-4.195291314,-9.754614331
-3.6145,0,-7.506958251,-10.90552001,-7.793701852,6.398351741,6.984269317,-14.623841,17.00863122,-9.608501286,6.337635051,-16.85513918,14.62871296,8.341849131,4.727321267,-11.67079745
-4.0389,0,-0.010856056,4.129053035,13.9726357,-11.29165471,18.27259676,10.29671971,14.04385746,7.466265222,0.030496686,7.368037531,-2.06103261,-1.194722436,-5.233719127,-14.79864497
16.5052,1,18.64204281,14.55407143,-13.09398217,-7.352066222,18.76571123,-2.196576747,1.053845539,-16.53301427,-1.289830632,3.065781674,-13.06961465,-1.74425199,-2.654942094,13.85025362
7.4113,1,-10.81207364,-9.084858823,-18.83175897,-16.00756915,17.07705414,-4.396067061,8.297875526,-2.000978672,8.181130032,1.580416115,13.43901381,8.348448851,9.711784593,17.12311675
11.6943,1,18.35056405,7.942300258,7.225785088,4.917915541,-3.83925474,-16.52293324,4.743668218,4.792340095,10.2028331,-12.60133504,-15.20584688,-5.155954122,6.538380217,11.8079944
-6.0103,0,-2.032563588,-11.46779697,-15.35361538,17.03235834,5.882876168,13.93081044,-10.6560019,3.412190875,-14.52842934,-9.957469025,1.386847821,4.563487332,-6.010442196,-19.34455189
6.5051,1,7.610389758,-7.866549224,-18.99930071,11.99885745,-3.390123887,7.902755608,17.78430007,18.53491737,16.44078298,-13.14456462,4.911978669,2.292719819,-5.036333591,1.468792251
20.48,1,-19.29094333,-17.05369554,2.902028511,-17.53280628,4.264592469,-19.11521878,-9.440776941,11.64800791,-18.30009567,4.387563763,-0.658195407,-8.598313992,-5.999142849,14.48088396
2.986,1,19.62765069,0.581169108,2.760534211,-17.50239438,-3.373110793,-4.090079054,-1.715768134,12.74627182,8.324522964,18.85487303,1.980427853,2.290694586,5.276684322,0.121256426
-1.4371,0,-15.75016902,18.80641524,-12.06963822,-14.99310841,-18.71725512,17.41749092,-6.017280774,-16.42915879,13.09771139,17.79205057,-1.31749706,6.789139511,5.352038111,-5.969154527
7.6337,1,15.6055077,10.38039507,-17.68871822,-12.34790269,0.518003938,10.1077874,-3.576938259,-4.119522631,-16.84895184,2.046802864,10.15632667,8.67069811,4.324835755,11.95857548
7.0099,1,-7.635803026,-7.035924746,-14.06956751,-0.756625646,9.224495329,5.421314407,8.887076877,5.643150228,11.96966806,11.74111701,-13.59775078,-5.604188367,1.405684752,-2.511040723
6.9555,1,18.42887752,8.45426589,9.472963338,4.682667258,3.484812073,-10.05149025,16.7756701,15.67190394,16.61189914,-15.83117566,14.63691625,-0.154289081,6.80124908,-14.70074124
8.5128,1,-1.856786709,5.825962511,-19.80848251,2.30993034,-0.883022198,9.537119396,10.78714496,13.05926818,-3.713403098,-13.6414458,4.262693902,-3.556429222,4.956362139,11.68897646
13.6778,1,15.21023672,-2.703773232,4.562310767,10.03857618,15.90136808,-18.70182469,-2.735430683,7.028274867,11.79272828,1.598972952,9.6890874,-6.693204233,6.984602129,19.86372728
19.0018,1,-12.85839783,11.55409971,-7.961882968,9.733934901,-11.4024964,13.03730956,6.90894194,14.20132355,-0.049350993,-7.138812459,18.00985987,5.843518588,-9.7617105,9.240080189
16.3995,1,15.84958606,2.05807579,13.80698067,16.94511341,-6.628393229,-16.51570947,10.25515918,-12.09394852,-14.54709821,0.479825272,17.05824665,-7.863376358,8.536114488,8.280861233
1.0154,1,-8.361844801,7.673177694,-7.629646799,4.919012459,2.159896348,-16.78090746,2.777380316,16.26628829,4.705993969,2.733276547,19.89953768,6.17259201,-4.7416137,-3.726165581
22.8155,1,-6.409302797,16.00351999,-5.812109099,12.24089298,-17.19682314,-15.07630261,-9.704426969,-12.98860081,2.82101606,4.081073709,-2.464234884,7.998719358,-8.37792191,14.43753321
-3.1022,0,4.043443268,-0.155941729,12.31362951,-19.29098666,-15.26216314,-5.261062799,-10.64348355,-7.935393761,13.2861506,-0.105678102,-1.200046304,-6.302431709,-9.404703664,-13.80756026
8.2659,1,8.627837678,-18.04219755,-4.505701039,18.70035225,18.20423425,9.043582724,8.693375453,11.25959279,0.1765927,5.961346642,12.21627368,-6.776189957,-8.401695008,-0.135782095
11.5349,1,4.383129717,6.161837061,-8.649087105,14.94120184,13.46378451,-5.603647938,10.48059279,2.344799514,-17.03256851,18.83007689,-10.80599513,-6.481456005,5.053454655,-1.318454243
