Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
-3.9917,0,-13.54981922,-17.75744383,4.452353743,-14.51805231,-11.2643213,-9.428489243,0.254417743,-2.600621121,-0.703910529,18.68160676,-11.31134366,-1.469261855,3.991824004,16.48970272
4.5826,1,7.683481524,-13.25673624,15.00084475,-13.2886526,-18.86154233,-18.7201879,-0.168184427,4.687587735,2.648665897,1.86374514,-5.826197518,-3.480960738,3.554403806,-1.028235398
8.0633,1,15.53885056,1.827928351,-10.11102357,6.257754798,1.475119967,-12.73857007,-13.62112546,-9.052160006,-9.626187955,1.945103325,-0.307820942,-8.187059542,-2.613148152,-10.67648922
3.1331,1,-18.74695286,16.76345142,18.16495286,9.596179849,-17.54583328,8.471165081,1.733955554,6.250418247,10.4628442,15.19880696,2.097508145,5.062676061,1.929698988,-1.024589022
8.465,1,19.24983924,-2.816687049,-5.027270822,-14.4621921,3.010642567,18.86613375,4.527778382,0.160379181,5.678696184,7.152908453,13.60696014,-0.944468522,-9.409403257,2.65036038
5.7208,1,-19.04627628,4.423543061,11.45217241,-11.9775416,3.182238928,-7.842487094,4.520637908,2.331589741,-12.19057944,11.64986636,6.974275999,-1.243693113,-6.964416434,-0.31765164
2.4746,1,-14.56343635,14.85282743,3.641461576,2.088028849,-0.754926834,-7.956565125,-15.97808064,-1.22329695,-15.45152719,8.974226273,14.14936092,-4.811931451,-7.286408598,18.06416148
-0.5148,0,18.85414673,0.907888395,-17.46223942,7.737524623,-15.57648719,8.465591845,-16.29247787,-18.57840308,4.459670413,2.330872652,-3.546126519,-1.12825654,5.643839919,6.158592169
13.266,1,-8.380879007,-6.453897661,15.06506178,-17.10896476,7.357640626,-9.253543338,-18.75235994,14.07014969,-13.09043691,-1.449328031,8.137849337,9.813457695,-3.452464727,13.5136331
10.3293,1,16.4503791,4.894652205,19.38518905,17.75988421,-12.98038695,0.636167874,-1.904202372,3.083646747,-13.98485156,-13.26548003,17.27352865,-2.505008222,-3.243683252,-13.5729593
20.7148,1,11.73653793,7.863841629,-19.77175677,10.27526881,-5.060252126,-4.498306781,-13.06078543,-0.231544624,1.657566955,10.33691677,10.55384474,9.81325117,1.525393173,-19.18940969
0.7478,1,8.256340767,-7.546065639,14.62640899,-7.285979537,-14.79963126,7.801583207,-18.88270607,-1.33268351,1.882697722,-9.484829804,1.108890711,9.766106632,9.01842852,13.73935162
12.7411,1,6.533507878,9.608016758,-19.14136209,4.200134146,9.449515293,-19.28735446,-16.90077475,-0.881018362,2.771326341,-11.6968116,-16.08506064,8.693599695,-4.047368539,5.419005678
4.0539,1,-18.309488,-11.44551194,2.46109273,10.80726024,-3.76638125,-6.516436747,9.83452242,16.9490307,6.949183581,11.40801644,4.190966222,7.674063993,3.6202555,14.21380958
15.3905,1,5.283159525,12.03641009,5.279584789,-4.60964082,18.40225024,-6.499954445,8.699139254,18.61807825,-9.004911997,14.32006302,-1.722840766,8.606226986,-6.784134364,-0.419595263
16.745,1,-7.417634055,-3.037004025,-5.370287914,10.13305106,5.657494512,12.38961737,-4.88365733,13.6472431,-18.53100839,-13.15943215,-5.047234239,4.127027979,4.347493076,-12.39750933
7.7519,1,17.43536845,-1.960088538,-2.930033994,14.99107713,-15.79145058,12.87172668,15.65726477,-15.33658849,-11.90740097,16.044017,15.00607368,-0.022914432,-7.77470818,-8.666115708
16.6146,1,5.886217819,18.73682338,-11.40531709,-10.6515864,9.93873291,15.88509023,18.71371087,-9.963628897,10.66444536,16.96950053,-19.06836343,8.181715267,-8.432770675,11.61074789
6.5277,1,-4.422061757,5.301719849,19.18810509,-0.540342851,-8.375500462,-10.63214444,-5.856757005,11.64948901,15.32318982,18.18811027,5.151157485,2.412330566,-4.11524181,-9.395222573
15.6471,1,-7.163198717,15.3867114,-10.15698805,-4.102691976,14.39130344,-13.11295675,-15.67004243,-10.34841064,10.79937146,9.185469217,-16.95605629,-6.685067592,-1.075159951,-16.72229384
-0.3104,0,-3.64929358,10.86934214,10.09995496,15.51389412,-3.28538224,-14.89566809,-9.497658294,-4.164184195,-14.3998354,-0.440979852,4.566978356,-8.103753385,-7.793271563,17.12401984
14.8747,1,1.136340303,17.89142328,-9.705599256,-8.896375422,-12.9191737,17.4659876,-2.086003434,15.2580901,-15.97342154,0.495387848,19.56290687,8.96820511,-5.906359124,-14.00572991
-0.932,0,-7.818076069,8.791108428,-7.980866306,18.64203895,-6.31882937,-18.44823491,-11.03303196,11.29926641,12.12302566,-19.31214504,7.549343106,-7.21486507,-0.932054926,1.278262057
-5.3759,0,13.81101277,14.71632572,-18.34662602,10.28153678,14.41654839,3.31608398,5.487584421,-4.903984074,-8.339830046,16.99825146,15.50137071,-3.820338573,5.375952664,18.22983591
5.1249,1,13.79958901,1.990939091,-18.60600594,10.89939304,-17.23691143,10.59764847,-3.976890246,-3.07209265,8.661950209,14.11032185,8.504886166,-1.642073262,-6.766841192,7.518556479
0.658,1,-14.42475375,-18.2291779,12.64484302,17.46092351,-0.400720354,-19.70896012,-4.067186375,6.140406634,11.48285252,8.311434093,1.045726487,-5.965119541,-6.623030038,11.63464614
9.0406,1,-4.683678037,6.656997335,-17.06440059,-3.800110357,-15.51784657,-16.45788629,-14.25778726,12.25888432,15.98067681,-7.712798863,8.423148432,6.104120362,-2.936427849,1.946690661
-0.556,0,0.027195721,7.324697017,-1.798059397,18.9781763,13.97411036,1.231524143,17.37708457,-14.69376264,12.74571267,16.40091857,-8.896790474,-1.593185774,-1.037094349,17.44247926
-5.4145,0,10.01543486,-3.48050412,12.11927269,-4.886279398,4.44915072,5.856834509,6.286118564,-12.4117776,7.215032913,-10.35282009,-6.823841431,-0.06365552,8.74882729,14.16337141
15.5048,1,5.378476967,5.420852065,16.87649102,-7.552684754,9.626173428,-0.410727201,-5.783909456,-5.232549203,16.00330892,-5.234840255,12.41076987,-9.228044714,-2.37144457,-17.87623844
2.6753,1,-17.16278685,-11.35490698,-13.75377494,5.472517811,-6.90372658,17.85666671,14.19209953,-19.52014254,1.01218658,1.533011103,-0.98710444,-9.295259777,-9.508388871,-12.18364601
10.851,1,-15.2130334,-15.40020069,5.239654999,1.043999757,17.82572507,0.460477238,-11.02479746,-16.18067033,-5.668244175,12.13891276,11.79912555,4.153490047,-6.697456556,13.05812577
-0.7661,0,-16.89833107,0.626697235,18.5834698,18.71559327,-13.74910017,-7.679808686,-4.315795735,-11.27419377,-16.33898401,14.04179359,-9.953496614,-6.002525093,-5.236357592,-0.447424253
