Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
-0.8021,0,-9.245634455,-1.009056224,-0.716924936,12.18203094,3.595972929,-5.41330693,-17.21843823,-0.31229878,0.304852507,-5.512489373,17.63239071,7.042162541,7.844380132,-9.113481684
14.1237,1,16.48012102,-0.539017653,17.70168033,-1.295054945,-0.38009287,-8.030192761,-8.116132393,15.22785776,13.57950652,16.84184807,-17.82235955,5.930980402,-8.192588501,7.55576165
0.0001,0,-10.16222318,-14.12524547,0.904995414,5.792923124,10.14649666,10.92630698,17.97657837,-4.165732823,16.60250423,-0.136448247,-19.86270085,-1.246539956,4.052590204,-1.836235754
-0.3842,0,-10.88982981,6.273448348,-1.606832399,-11.72396633,11.42679702,-10.34961284,3.777033347,7.254206212,15.15022399,4.881101322,10.29334883,-4.171048789,-0.384280069,14.04742387
0.6702,0,-4.149820091,-19.67706635,14.27103323,10.06943644,-12.94982166,19.056993,8.908459103,-8.623696185,10.31217554,-7.716713326,0.62793149,4.740384721,4.07025269,7.648584465
4.9311,1,-2.890497517,-10.73705977,-5.757156975,15.37377949,-4.928521916,-3.564994561,17.85798303,0.760408287,-17.05418524,15.54697077,-9.183884148,-5.486434285,4.93100094,4.89893042
4.0152,1,-18.36634912,-19.65578886,12.0511401,-13.92232895,-18.615106,13.93553675,0.947256596,-2.586001991,-9.737087073,-6.330290694,-14.20262927,2.468758311,-1.546364499,-13.11026067
0.0001,0,6.622305757,-12.36015871,-2.752363286,8.603936407,-19.05090672,9.914327041,5.601224951,6.480310444,7.934783928,15.76868623,-11.09674732,-6.535579206,-0.923865245,-14.75231686
-0.0252,0,-14.69827751,5.808473971,-6.592787442,-0.577915777,12.53821038,-6.437041522,9.15727917,11.81740893,4.372277082,1.789664258,15.37456116,0.02533396,5.92137833,-13.19044196
13.8056,1,18.79877083,-17.07029359,-2.970307262,1.443353136,14.72253249,-9.193160246,14.42423123,-0.696485508,-4.467035003,-8.88434053,9.384053337,9.787219921,-4.01832176,13.3837582
3.2968,1,-18.95029361,2.298920895,0.904222597,-19.30522659,-9.459207261,18.97553515,-14.30531272,-14.12015073,17.08022394,16.62211282,-6.41339544,-3.797904416,3.296713102,18.60291289
0.6301,0,-1.181213355,16.04645737,15.12531332,9.906719286,-0.355324609,11.23235045,17.2862773,-12.39626284,5.728047021,-4.236197368,13.73100213,-7.233892885,-7.86385984,4.518623561
9.7991,1,-13.60161124,-5.723625927,-2.806389187,9.583703561,13.35933265,16.86435553,-2.249673355,-17.30528368,12.58570474,9.428983539,-0.478174203,5.652275645,-4.146686888,-8.023353422
0.0001,0,-11.57288004,-2.205388994,-18.75934771,-0.381449365,-3.300717278,-17.66258045,18.28916499,7.415293746,18.31500454,-5.731869734,12.61330884,-6.649516624,-1.367007834,-14.61021884
0.8622,0,-0.60305702,-6.952137006,12.40343024,-2.955141031,-3.603624444,-14.77104332,14.11022256,16.83974823,-3.252168244,-17.56415689,-15.17209253,5.803695236,4.941577875,-15.17486234
9.5152,1,-16.07120626,-15.59212408,11.49752906,-17.02019365,-7.016259118,-10.23266042,12.52931152,-13.94719993,-7.185935881,3.918812327,-9.125201782,4.495443434,-5.019697647,1.836170576
0.0285,0,7.21510542,18.14835396,17.39595541,7.245144282,-3.771559977,-2.889749481,0.15883965,8.768511863,8.481155395,13.8467601,-13.67498876,-0.028416218,5.648694615,5.793268868
0.4667,0,0.305061352,-15.00626632,16.53699001,11.31727674,17.81993094,-9.188245732,-1.183736894,-13.27892827,4.674237349,-15.35348248,-8.256090885,-5.240666719,-5.707253219,7.64016255
10.2611,1,-11.42854256,11.84266414,18.11523316,10.72792022,11.72127114,11.38908183,1.054917157,-0.658184831,19.83787108,-8.492138163,17.34871518,6.236822355,-4.024199254,-3.563246747
13.1954,1,-2.794366645,4.399874299,-14.47662473,-5.21382279,-2.593483438,-8.737168467,4.01171125,-14.32812012,5.568046941,19.52788984,-4.840430219,6.12568681,-7.069633929,13.10763926
0.1528,0,6.437195226,-16.17801886,6.008731605,10.40302969,11.37755284,-18.28882872,4.123007402,6.825648266,-1.355295626,8.154047365,12.12615354,-4.65579076,-4.808457385,4.60244543
1.7802,1,-8.578220545,0.404679544,2.749937432,6.178225947,-16.00384936,6.750994542,8.074911054,7.066922978,-1.953243542,8.8700449,-8.150658952,-8.452634326,-4.160283951,-5.940397568
12.2565,1,4.464000069,15.90525241,-11.88496678,4.940331352,5.882107218,19.74549636,-3.817846421,-7.054887073,-3.524150924,3.450605757,-0.410907533,5.590521972,-6.665858678,12.83141045
14.0389,1,-0.680254403,-13.12987347,1.28336627,-11.03762304,-6.149264002,-0.116210291,13.832984,-18.73262651,-18.52632126,0.543777727,-2.727413731,5.793060242,-8.245709671,16.7258247
